SA,GRASP
98001,93808
100964,93613
97801,93876
97869,93891
97775,93933
98480,93790
97409,93850
100579,93607
99311,93859
97434,93732
97560,93720
99919,93764
97384,93744
97682,93916
98270,93780
97406,93615
97545,93788
99647,93673
98134,93725
98326,93702
98143,93749
97772,93846
97802,93753
97428,93924
98188,93656
98415,93749
97256,93905
98684,93676
97605,93724
96468,93673
