SA,GRASP
3273,3247
3280,3234
3288,3294
3264,3244
3301,3244
3246,3277
3203,3259
3199,3265
3168,3281
3236,3253
3174,3302
3352,3267
3342,3240
3197,3319
3363,3240
3264,3294
3344,3283
3279,3305
3242,3261
3204,3302
3159,3260
3323,3292
3256,3239
3251,3261
3180,3243
3145,3239
3292,3327
3216,3276
3219,3269
3248,3240
